activity,module_code,module_short_title,module_leader,assm_type,assm_component,assm_sem,sem_1_cred,sem_2_cred,assm_percent,start_date,time_released_to_students_9_30am,spot_date,submission_time_2pm_for_cw_9_30am_for_24hr_tests,end_date,reminder_sent,date_of_when_marks_feedback_were_released_to_students,late_y_n,if_late_why,assessment_title_for_ness_canvas,check_ness_assessment_matches_mof,set_up_coursework_exam_on_ness,submission_point_added_to_canvas,query,notes,faculty_marketing_document_added
CHY1510 Pass/Fail Skills assessment of laboratory,CHY1510,Chem Labs 1,Dr Z McMillan,Pass/Fail,Practical/Lab Report,#,10,10,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1610 Formative Assessment Formative assessment set during workshops,CHY1610,Intro to Scientific Computing,Dr DJ Cole,Formative Assessment,Computer Assessment,2,0,10,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1610 Other Assessment Lab notebook mark,CHY1610,Intro to Scientific Computing,Dr DJ Cole,Other Assessment,Report,2,0,10,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY1610 Other Assessment Project Report.,CHY1610,Intro to Scientific Computing,Dr DJ Cole,Other Assessment,Report,2,0,10,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2001 Other Assessment N/A,CHY2001,Prof Development & Employability Skills,Dr JG Knight,Other Assessment,Prof Skill Assessmnt,2,15,5,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2003 Other Assessment Computational Modelling assignment (~5 pages),CHY2003,Topics in Chemistry,Dr AR Pike,Other Assessment,Written Exercise,1,10,0,20,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2003 Other Assessment Alternate online assessment,CHY2003,Topics in Chemistry,Dr AR Pike,Other Assessment,Written Exercise,1,10,0,80,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2101 Other Assessment Alternate assessment for sem 1,CHY2101,Organic Chemistry,Dr DA Fulton,Other Assessment,Computer Assessment,1,10,10,35,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2101 Other Assessment Alternate assessment for sem 2,CHY2101,Organic Chemistry,Dr DA Fulton,Other Assessment,Computer Assessment,2,10,10,35,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2101 Other Assessment Laboratory online assessment,CHY2101,Organic Chemistry,Dr DA Fulton,Other Assessment,Practical/Lab Report,2,10,10,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2101 Pass/Fail Laboratory Skills assessment,CHY2101,Organic Chemistry,Dr DA Fulton,Pass/Fail,Practical/Lab Report,#,10,10,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2102 Other Assessment CHY2102 Semester 2 Alternative assessment.  Max 1750 words.,CHY2102,Bioactive Natural Products,Professor BT Golding,Other Assessment,Written Exercise,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2103 Formative Assessment Formitive coursework,CHY2103,Medicinal Chemistry & Drug Design,Dr C Cano,Formative Assessment,Written Exercise,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2103 Other Assessment Alternate online assessment,CHY2103,Medicinal Chemistry & Drug Design,Dr C Cano,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2201 Other Assessment composed of several individual laboratory reports as,CHY2201,Physical Chemistry,Dr EM Tuite,Other Assessment,Practical/Lab Report,2,0,20,40,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2201 Other Assessment Alternate assessment,CHY2201,Physical Chemistry,Dr EM Tuite,Other Assessment,Written Exercise,2,0,20,60,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2201 Pass/Fail Laboratory Skills assessment (P/F),CHY2201,Physical Chemistry,Dr EM Tuite,Pass/Fail,Practical/Lab Report,#,0,20,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2301 Other Assessment Alternate assessment - Sem 1,CHY2301,Inorganic Chemistry,Dr KJ Izod,Other Assessment,Computer Assessment,1,10,10,35,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2301 Other Assessment Alternate assessment - Sem 2,CHY2301,Inorganic Chemistry,Dr KJ Izod,Other Assessment,Computer Assessment,2,10,10,35,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2301 Other Assessment composed of several individual laboratory reports as,CHY2301,Inorganic Chemistry,Dr KJ Izod,Other Assessment,Practical/Lab Report,1,10,10,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY2301 Pass/Fail Laboratory Skills assessment (P/F),CHY2301,Inorganic Chemistry,Dr KJ Izod,Pass/Fail,Computer Assessment,#,10,10,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHY2401 Other Assessment Assessment will be of 5 take-home problems, set in week 8",CHY2401,Structural Chemistry,Dr CY Wills,Other Assessment,Prob Solv Exercises,1,20,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3011 Other Assessment Chem. Soc. Tutorial Review 5 pages (template provided),CHY3011,Research Literature Project,Dr S Doherty,Other Assessment,Case Study,2,15,15,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3011 Other Assessment 5 minute oral presentation on chosen research topic,CHY3011,Research Literature Project,Dr S Doherty,Other Assessment,Prof Skill Assessmnt,2,15,15,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3011 Other Assessment Chemical Communications Exercise (1000 words max),CHY3011,Research Literature Project,Dr S Doherty,Other Assessment,Written Exercise,1,15,15,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3011 Other Assessment Project Plan (1 page),CHY3011,Research Literature Project,Dr S Doherty,Other Assessment,Written Exercise,1,15,15,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3105 Other Assessment Online alternate assessment and MCQ,CHY3105,Advanced Organic Chemistry (Dist Learn),Dr MJ Hall,Other Assessment,Computer Assessment,2,10,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3108 Other Assessment Alternate assessment and MCQ,CHY3108,Advanced Organic Chemistry,Dr MJ Hall,Other Assessment,Computer Assessment,2,20,10,67,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3108 Other Assessment Laboratory online assessment,CHY3108,Advanced Organic Chemistry,Dr MJ Hall,Other Assessment,Practical/Lab Report,1,20,10,33,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3108 Pass/Fail Laboratory Skills assessment,CHY3108,Advanced Organic Chemistry,Dr MJ Hall,Pass/Fail,Practical/Lab Report,#,20,10,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3109 Formative Assessment Laboratory Skills assessment,CHY3109,Advanced Medicinal Chemistry,Dr C Cano,Formative Assessment,Computer Assessment,1,20,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3109 Other Assessment Laboratory online assessment,CHY3109,Advanced Medicinal Chemistry,Dr C Cano,Other Assessment,Practical/Lab Report,1,20,10,33,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3109 Other Assessment Alternate online assessment,CHY3109,Advanced Medicinal Chemistry,Dr C Cano,Other Assessment,Written Exercise,1,20,10,34,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3109 Other Assessment Alternate online assessment,CHY3109,Advanced Medicinal Chemistry,Dr C Cano,Other Assessment,Written Exercise,1,20,10,34,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3109 Other Assessment Alternate online assessment,CHY3109,Advanced Medicinal Chemistry,Dr C Cano,Other Assessment,Written Exercise,2,20,10,33,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3109 Other Assessment Alternate online assessment,CHY3109,Advanced Medicinal Chemistry,Dr C Cano,Other Assessment,Written Exercise,2,20,10,33,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3110 Other Assessment Online alternate assessment of semester 1 topics,CHY3110,Advanced Medicinal Chemistry,Dr C Cano,Other Assessment,Written Exercise,1,10,10,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3110 Other Assessment Online alternate assessment of semester 2 topics,CHY3110,Advanced Medicinal Chemistry,Dr C Cano,Other Assessment,Written Exercise,2,10,10,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3112 Other Assessment Alternate online assessment will be delivered towards the,CHY3112,Advanced Organic Chemistry (Dist Learn),Dr MJ Hall,Other Assessment,Computer Assessment,1,20,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3201 Other Assessment Online class test on dry labs,CHY3201,Advanced Physical Chemistry,Dr BR Horrocks,Other Assessment,Practical/Lab Report,1,20,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3201 Other Assessment Online alternate assessment,CHY3201,Advanced Physical Chemistry,Dr BR Horrocks,Other Assessment,Written Exercise,1,20,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3206 Other Assessment Laboratory practical report (25%),CHY3206,Advanced Physical Chemistry,Dr BR Horrocks,Other Assessment,Practical/Lab Report,1,30,0,25,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3206 Other Assessment Online class test on dry labs,CHY3206,Advanced Physical Chemistry,Dr BR Horrocks,Other Assessment,Practical/Lab Report,1,30,0,25,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3206 Other Assessment Alternate online assessment of module topics,CHY3206,Advanced Physical Chemistry,Dr BR Horrocks,Other Assessment,Written Exercise,1,30,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3206 Pass/Fail Preparation of laboratory key skills (Pass/Fail),CHY3206,Advanced Physical Chemistry,Dr BR Horrocks,Pass/Fail,Practical/Lab Report,#,30,0,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3304 Other Assessment Alternate online assessment towards the end of semester,CHY3304,Advanced Inorganic Chem (Dist Learn),Professor A Houlton,Other Assessment,Computer Assessment,1,20,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3305 Other Assessment Alternate written online assessment,CHY3305,Advanced Inorganic Chem (Dist Learn),Professor A Houlton,Other Assessment,Written Exercise,2,10,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3306 Other Assessment composed of several individual laboratory reports as,CHY3306,Advanced Inorganic Chemistry,Professor A Houlton,Other Assessment,Practical/Lab Report,2,0,30,33,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY3306 Other Assessment Alternate written assessment,CHY3306,Advanced Inorganic Chemistry,Professor A Houlton,Other Assessment,Written Exercise,2,0,30,67,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8310 Exam 30 mins at workplace or online,CHY8310,Project in Industry,Dr AE Carruthers,Exam,Oral Examination,2,40,40,25,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8310 Exam 15 min presentation either in workplace or online,CHY8310,Project in Industry,Dr AE Carruthers,Exam,Oral Presentation,2,40,40,15,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8310 Other Assessment Final report (30 pages) Plus one summary slide,CHY8310,Project in Industry,Dr AE Carruthers,Other Assessment,Report,2,40,40,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8310 Other Assessment Supervisor assessment of placement work,CHY8310,Project in Industry,Dr AE Carruthers,Other Assessment,Report,2,40,40,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8311 Other Assessment Final Report (30 pages) Plus one summary slide,CHY8311,Project Abroad,Dr F Cucinotta,Other Assessment,Report,3,0,40,50,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8311 Other Assessment Supervisor assessment of project work,CHY8311,Project Abroad,Dr F Cucinotta,Other Assessment,Report,3,0,40,50,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8313 Other Assessment Supervisor assessment of project work,CHY8313,Research Project (Sem 2),Dr F Cucinotta,Other Assessment,Report,3,0,55,100,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8316 Other Assessment Supervisor assessment of project work,CHY8316,Research Project (Sem 2),Dr F Cucinotta,Other Assessment,Report,3,0,35,100,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8318 Exam N/A,CHY8318,Research Project A (P/T),Dr RJ Errington,Exam,Oral Presentation,2,10,20,20,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8318 Other Assessment Assessed project work,CHY8318,Research Project A (P/T),Dr RJ Errington,Other Assessment,Practical/Lab Report,2,10,20,45,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHY8318 Other Assessment To include a written safety and risk assessment, literature",CHY8318,Research Project A (P/T),Dr RJ Errington,Other Assessment,Written Exercise,1,10,20,35,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8319 Exam N/A,CHY8319,Research Project B (P/T),Dr RJ Errington,Exam,Oral Examination,2,0,40,45,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8319 Other Assessment Written Project Report (30 pages),CHY8319,Research Project B (P/T),Dr RJ Errington,Other Assessment,Report,2,0,40,55,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8420 Other Assessment Alternate assessment for first part of semester,CHY8420,Select & Stereocontrol Organic Synthesis,Dr JG Knight,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8420 Other Assessment Alternate assessment for second part of semester,CHY8420,Select & Stereocontrol Organic Synthesis,Dr JG Knight,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8421 Formative Assessment Coursework exercises,CHY8421,Advanced Methods in Drug Discovery,Dr IR Hardcastle,Formative Assessment,Written Exercise,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8421 Other Assessment Summative assessment of lecture materials,CHY8421,Advanced Methods in Drug Discovery,Dr IR Hardcastle,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8422 Other Assessment Alternate assessment for topics covered in first half of,CHY8422,Pericyclic and radical reactions,Dr MJ Hall,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8422 Other Assessment Alternate assessment for topics covered in second half of,CHY8422,Pericyclic and radical reactions,Dr MJ Hall,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8423 Other Assessment Assignment with a maximum of 6 A4 pages.,CHY8423,Chemistry Far From Equilibrium,Dr AE Carruthers,Other Assessment,Essay,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8424 Exam 10-15 mins individual presentation,CHY8424,Contemporary Catalysis,Dr S Doherty,Exam,Oral Presentation,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8424 Other Assessment Alternate assessment (25%),CHY8424,Contemporary Catalysis,Dr S Doherty,Other Assessment,Written Exercise,1,10,0,25,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8425 Other Assessment 3 x Alternate assessment of all topics covered in module,CHY8425,Exploring d and f block chemistry,Dr KJ Izod,Other Assessment,Computer Assessment,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8428 Other Assessment Online assessment of whole module,CHY8428,Energy & Materials,Dr EM Tuite,Other Assessment,Computer Assessment,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8430 Formative Assessment problem solving exercises,CHY8430,Advanced Problem Solving,Dr JE Eriksson,Formative Assessment,Prob Solv Exercises,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8430 Other Assessment Alternate online assessment,CHY8430,Advanced Problem Solving,Dr JE Eriksson,Other Assessment,Written Exercise,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8511 Exam N/A,CHY8511,Research Project,Dr RJ Errington,Exam,Oral Examination,2,10,60,25,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8511 Exam N/A,CHY8511,Research Project,Dr RJ Errington,Exam,Oral Presentation,2,10,60,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8511 Other Assessment Assessed project work,CHY8511,Research Project,Dr RJ Errington,Other Assessment,Practical/Lab Report,2,10,60,20,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8511 Other Assessment Written Project Report (30 pages),CHY8511,Research Project,Dr RJ Errington,Other Assessment,Report,2,10,60,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHY8511 Other Assessment To include a written safety and risk assessment, literature",CHY8511,Research Project,Dr RJ Errington,Other Assessment,Written Exercise,1,10,60,15,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8518 Exam N/A,CHY8518,Research Project A (P/T),Dr RJ Errington,Exam,Oral Presentation,2,10,20,20,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8518 Other Assessment Assessed project work,CHY8518,Research Project A (P/T),Dr RJ Errington,Other Assessment,Practical/Lab Report,2,10,20,45,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHY8518 Other Assessment To include a written safety and risk assessment, literature",CHY8518,Research Project A (P/T),Dr RJ Errington,Other Assessment,Written Exercise,1,10,20,35,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8519 Exam N/A,CHY8519,Research Project B (P/T),Dr RJ Errington,Exam,Oral Examination,2,0,40,45,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8519 Other Assessment Written Project Report (30 pages),CHY8519,Research Project B (P/T),Dr RJ Errington,Other Assessment,Report,2,0,40,55,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8812 Formative Assessment Presentation,CHY8812,Research Skills,Dr IR Hardcastle,Formative Assessment,Oral Presentation,2,0,20,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8812 Other Assessment Literature Review (4 Pages),CHY8812,Research Skills,Dr IR Hardcastle,Other Assessment,Written Exercise,2,0,20,40,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8812 Other Assessment Safety exercise (COSHH form and online assessment),CHY8812,Research Skills,Dr IR Hardcastle,Other Assessment,Written Exercise,2,0,20,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8812 Other Assessment Laboratory Report (covering 4 individual experiments),CHY8812,Research Skills,Dr IR Hardcastle,Other Assessment,Written Exercise,2,0,20,40,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8812 Other Assessment Reaxys exercise,CHY8812,Research Skills,Dr IR Hardcastle,Other Assessment,Written Exercise,2,0,20,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8821 Formative Assessment 2 x written exercises (1000 words each). Preparation for,CHY8821,Modern Methods in Drug Discovery,Dr IR Hardcastle,Formative Assessment,Written Exercise,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8821 Other Assessment 2 x written exercises (1000 words each),CHY8821,Modern Methods in Drug Discovery,Dr IR Hardcastle,Other Assessment,Written Exercise,1,20,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8822 Other Assessment Alternate end of module assessment,CHY8822,Drug Metabolism & Toxicology,Professor MJ Waring,Other Assessment,Computer Assessment,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8822 Other Assessment 2 assignments (max 4 pages),CHY8822,Drug Metabolism & Toxicology,Professor MJ Waring,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHY8823 Other Assessment 2 x assignments - equally weighted, 1500 words for each",CHY8823,Theory and Practice of Chemotherapy,Dr C Cano,Other Assessment,Essay,2,0,20,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8823 Other Assessment Alternate assessment,CHY8823,Theory and Practice of Chemotherapy,Dr C Cano,Other Assessment,Written Exercise,2,0,20,50,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8825 Other Assessment Alternate end of module assessment,CHY8825,Proteins as Drug Targets,Dr AK Bronowska,Other Assessment,Computer Assessment,1,10,0,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8825 Other Assessment Assessment of practical work performed in dry labs,CHY8825,Proteins as Drug Targets,Dr AK Bronowska,Other Assessment,Written Exercise,1,10,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8830 Other Assessment Questions based on taught material and literature study,CHY8830,Computer-aided Drug Design,Dr AK Bronowska,Other Assessment,Computer Assessment,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8834 Other Assessment alternate assessment - first half of module,CHY8834,Select & Stereocontrol Organic Synthesis,Dr JG Knight,Other Assessment,Computer Assessment,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8834 Other Assessment alternate assessment - second half of module,CHY8834,Select & Stereocontrol Organic Synthesis,Dr JG Knight,Other Assessment,Computer Assessment,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHY8835 Other Assessment Alternate assessment for topics covered in first half of,CHY8835,Further Organic Chemistry,Dr MJ Hall,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
